type	delta time	mode	trial	lickPos	result
end	2567.672	0x22	89	-1	1
start	2571.212	0x22	90	110	0
stay	2575.205	0x22	90	-1	639;806
soundplay	2575.205	0x22	90	6	
lick	2577.476	0x22	90	0	
end	2577.476	0x22	90	-1	1
start	2580.71	0x22	91	20	0
lick	2581.604	0x22	91	0	leave
stay	2586.271	0x22	91	-1	1060;532
soundplay	2586.272	0x22	91	6	
lick	2588.038	0x22	91	0	
end	2588.038	0x22	91	-1	1
start	2592.058	0x22	92	290	0
stay	2593.504	0x22	92	-1	904;186
soundplay	2593.505	0x22	92	6	
lick	2595.67	0x22	92	0	
end	2595.67	0x22	92	-1	1
start	2599.309	0x22	93	200	0
lick	2599.573	0x22	93	0	leave
stay	2606.321	0x22	93	-1	455;447
soundplay	2606.321	0x22	93	6	
lick	2607.754	0x22	93	0	
end	2607.754	0x22	93	-1	1
start	2611.657	0x22	94	290	0
lick	2612.954	0x22	94	0	leave
stay	2613.704	0x22	94	-1	812;173
soundplay	2613.705	0x22	94	6	
lick	2615.837	0x22	94	0	
end	2615.837	0x22	94	-1	1
start	2619.624	0x22	95	200	0
lick	2620.421	0x22	95	0	leave
stay	2631.941	0x22	95	-1	435;410
soundplay	2631.941	0x22	95	6	
lick	2634.54	0x22	95	0	
end	2634.54	0x22	95	-1	1
start	2637.964	0x22	96	200	0
lick	2638.554	0x22	96	0	leave
stay	2642.937	0x22	96	-1	476;357
soundplay	2642.937	0x22	96	6	
lick	2644.807	0x22	96	0	
end	2644.807	0x22	96	-1	1
miniscopeRecord	2647.788	0x22	96	0	
start	2648.643	0x22	97	110	0
lick	2650.105	0x22	97	0	leave
stay	2652.741	0x22	97	-1	663;771
soundplay	2652.741	0x22	97	6	
lick	2654.286	0x22	97	0	
end	2654.286	0x22	97	-1	1
start	2657.806	0x22	98	290	0
lick	2659.602	0x22	98	0	leave
stay	2677.385	0x22	98	-1	883;190
soundplay	2677.386	0x22	98	6	
lick	2679.419	0x22	98	0	
end	2679.419	0x22	98	-1	1
start	2683.403	0x22	99	290	0
lick	2683.435	0x22	99	0	leave
lick	2689.819	0x22	99	0	
lick	2690.785	0x22	99	0	leave
stay	2693.336	0x22	99	-1	946;199
soundplay	2693.336	0x22	99	6	
lick	2695.735	0x22	99	0	
end	2695.735	0x22	99	-1	1
start	2698.991	0x22	100	290	0
lick	2700.785	0x22	100	0	leave
stay	2724.034	0x22	100	-1	898;167
soundplay	2724.034	0x22	100	6	
lick	2726.251	0x22	100	0	
end	2726.251	0x22	100	-1	1
start	2729.092	0x22	101	20	0
lick	2731.15	0x22	101	0	leave
stay	2738.201	0x22	101	-1	1060;581
soundplay	2738.202	0x22	101	6	
lick	2739.818	0x22	101	0	
end	2739.818	0x22	101	-1	1
start	2743.07	0x22	102	200	0
stay	2758.783	0x22	102	-1	476;310
soundplay	2758.784	0x22	102	6	
lick	2760.449	0x22	102	0	
end	2760.449	0x22	102	-1	1
start	2763.088	0x22	103	20	0
lick	2765.101	0x22	103	0	leave
stay	2768.55	0x22	103	-1	1029;609
soundplay	2768.551	0x22	103	6	
lick	2770.65	0x22	103	0	
end	2770.65	0x22	103	-1	1
start	2774.305	0x22	104	110	0
stay	2784.333	0x22	104	-1	576;783
soundplay	2784.334	0x22	104	6	
lick	2786.183	0x22	104	0	
end	2786.184	0x22	104	-1	1
start	2789.266	0x22	105	110	0
lick	2790.616	0x22	105	0	leave
stay	2803.383	0x22	105	-1	611;801
soundplay	2803.384	0x22	105	6	
lick	2805.469	0x22	105	0	
end	2805.469	0x22	105	-1	1
start	2808.555	0x22	106	200	0
lick	2810.781	0x22	106	0	leave
stay	2814.399	0x22	106	-1	442;337
soundplay	2814.4	0x22	106	6	
lick	2816.199	0x22	106	0	
end	2816.199	0x22	106	-1	1
start	2819.351	0x22	107	20	0
lick	2820.265	0x22	107	0	leave
stay	2831.565	0x22	107	-1	1040;581
soundplay	2831.566	0x22	107	6	
lick	2833.632	0x22	107	0	
end	2833.632	0x22	107	-1	1
start	2836.569	0x22	108	110	0
lick	2837.214	0x22	108	0	leave
stay	2846.085	0x22	108	-1	628;746
soundplay	2846.085	0x22	108	6	
lick	2847.765	0x22	108	0	
end	2847.765	0x22	108	-1	1
start	2850.603	0x22	109	20	0
lick	2854.381	0x22	109	0	leave
stay	2872.781	0x22	109	-1	1025;677
soundplay	2872.781	0x22	109	6	
lick	2874.814	0x22	109	0	
end	2874.814	0x22	109	-1	1
start	2877.65	0x22	110	200	0
lick	2878.214	0x22	110	0	leave
stay	2905.83	0x22	110	-1	467;398
soundplay	2905.831	0x22	110	6	
lick	2909.08	0x22	110	0	
end	2909.081	0x22	110	-1	1
start	2912.865	0x22	111	290	0
lick	2914.78	0x22	111	0	leave
lick	2922.23	0x22	111	0	
lick	2924.28	0x22	111	0	leave
stay	2934.397	0x22	111	-1	883;203
soundplay	2934.397	0x22	111	6	
lick	2936.262	0x22	111	0	
end	2936.262	0x22	111	-1	1
start	2939.953	0x22	112	110	0
lick	2941.45	0x22	112	0	leave
lick	2953.646	0x22	112	0	
lick	2955.479	0x22	112	0	leave
lick	2969.396	0x22	112	0	
lick	2970.049	0x22	112	0	leave
stay	2971.895	0x22	112	-1	605;758
soundplay	2971.896	0x22	112	6	
lick	2974.165	0x22	112	0	
end	2974.165	0x22	112	-1	1
start	2977.435	0x22	113	110	0
lick	2979.245	0x22	113	0	leave
stay	2987.162	0x22	113	-1	574;783
soundplay	2987.162	0x22	113	6	
lick	2990.262	0x22	113	0	
end	2990.262	0x22	113	-1	1
start	2993.597	0x22	114	200	0
