Time Stamp (ms),qw,qx,qy,qz
14762,-0.0869751,0.337463,-0.328552,-0.877808
14802,-0.069397,0.31189,-0.320496,-0.891724
14842,-0.0465088,0.255859,-0.308167,-0.9151
14883,-0.0285034,0.207764,-0.288269,-0.934326
14924,-0.0388794,0.199646,-0.301697,-0.931458
14962,-0.0215454,0.230713,-0.310181,-0.921997
15004,-0.0219727,0.284607,-0.301941,-0.909607
15047,-0.020874,0.247498,-0.289978,-0.924255
15086,-0.0297241,0.265259,-0.304688,-0.914246
15126,-0.0521851,0.232178,-0.258728,-0.936218
15166,-0.0685425,0.231384,-0.308655,-0.920044
15209,-0.0323486,0.253357,-0.326538,-0.910034
15247,-0.0202637,0.260071,-0.311462,-0.913757
15288,-0.0298462,0.231873,-0.303772,-0.923645
15329,-0.0377197,0.221863,-0.310425,-0.923584
15368,-0.0491333,0.222717,-0.32605,-0.917419
15410,-0.081604,0.128479,-0.277222,-0.948669
15451,-0.132996,0.0388794,-0.266296,-0.953857
15492,-0.124451,0.0145264,-0.231079,-0.964844
15532,-0.161865,0.038269,-0.20575,-0.964355
15574,-0.163574,0.0354614,-0.199646,-0.965454
15612,-0.143921,-0.0546875,-0.132141,-0.979187
15653,-0.144714,-0.100769,-0.109558,-0.97821
15694,-0.125427,-0.15387,-0.000732422,-0.980103
15734,-0.127747,-0.145447,0.0110474,-0.981018
15776,-0.100525,-0.125854,-0.0308838,-0.98645
15815,-0.107117,-0.057251,-0.0726318,-0.989929
15856,-0.0802002,0.0284424,-0.0657959,-0.994202
15897,-0.0859985,0.0114136,-0.0283203,-0.99585
15938,-0.0739136,-0.0192871,-0.0244751,-0.996765
15977,-0.0410767,-0.0220337,-0.00512695,-0.998901
16019,-0.0109863,0.0491943,-0.0407104,-0.997925
16060,-0.00866699,0.0761108,-0.0415039,-0.996216
16099,0.00848389,0.110352,-0.00842285,-0.993835
16142,0.0108643,0.106079,-0.00549316,-0.994263
16182,0.022583,0.083313,0.00634766,-0.996277
16223,0.0302734,0.0769043,0.0339966,-0.995972
16261,0.0469971,0.0650024,0.125488,-0.988831
16303,0.0371094,0.100464,0.169556,-0.979675
16344,0.0383911,0.167114,0.164368,-0.971375
16383,0.0560303,0.201904,0.163879,-0.963989
16425,0.103455,0.170166,0.22522,-0.953735
16465,0.131104,0.139221,0.251465,-0.948792
16505,0.126709,0.158936,0.228943,-0.951965
16546,0.165894,0.220032,0.202087,-0.939819
16588,0.184326,0.242798,0.193054,-0.932617
16628,0.190186,0.202881,0.205444,-0.938354
16668,0.176208,0.179871,0.235718,-0.93866
16709,0.164795,0.198059,0.236938,-0.936768
16748,0.151428,0.185791,0.243469,-0.939819
16793,0.141052,0.21167,0.250977,-0.93396
16831,0.110779,0.252197,0.24469,-0.929626
16874,0.120056,0.30481,0.247559,-0.911804
16910,0.141418,0.351501,0.261475,-0.887756
16953,0.169922,0.32843,0.310791,-0.87561
16993,0.193481,0.340088,0.295654,-0.871521
17033,0.227783,0.318848,0.279724,-0.876465
17075,0.273682,0.306213,0.272156,-0.870178
17114,0.303894,0.276001,0.304138,-0.859619
17156,0.314148,0.256287,0.31897,-0.856689
17195,0.367249,0.1828,0.317078,-0.855103
17238,0.371643,0.172058,0.318909,-0.854736
17277,0.456177,0.191223,0.293213,-0.818115
17319,0.54657,0.134827,0.247375,-0.788574
17358,0.621826,0.162903,0.238281,-0.728027
17399,0.699463,0.162048,0.21228,-0.662903
17440,0.727783,0.179932,0.163147,-0.641357
17481,0.721985,0.301636,0.14978,-0.604431
17522,0.71521,0.315857,0.118591,-0.612122
17561,0.713745,0.308777,0.0770264,-0.623901
17602,0.708618,0.282959,0.0745239,-0.64209
17642,0.736206,0.254883,0.0683594,-0.623169
17681,0.699463,0.280823,0.0862427,-0.651489
17722,0.725281,0.197937,0.0565796,-0.656982
17764,0.746094,0.161377,0.0505981,-0.644043
17805,0.729187,0.255676,0.0473022,-0.633057
17845,0.699585,0.298096,0.0543823,-0.647095
17886,0.686096,0.334717,0.0856323,-0.640198
17929,0.669678,0.357788,0.0926514,-0.644104
17967,0.677551,0.333801,0.108887,-0.64624
18008,0.65863,0.425598,0.147095,-0.602905
18047,0.665344,0.412109,0.123291,-0.610107
18091,0.685486,0.399902,0.0695801,-0.604431
18129,0.66156,0.383118,0.100403,-0.63678
18171,0.69458,0.267151,0.0383911,-0.66687
